age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Married-civ-spouse,Any,In-family,Any,America,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Female,United-States,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,Any,<=50K
Any,Any,Any,Never-married,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,In-family,Male,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,In-family,Male,United-States,>50K
"[0,50)",Private,Any,Never-married,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Partner-present,Any,Any,Any,United-States,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,North-America,>50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Secondary,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,In-family,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,>50K
Any,Any,Post-secondary,Married-civ-spouse,Any,In-family,Any,America,>50K
Any,Private,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,>50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,In-family,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Not-in-family,Any,United-States,<=50K
Any,Any,Any,Never-married,Any,Any,Male,United-States,<=50K
Any,Any,Post-secondary,Married-civ-spouse,Any,In-family,Any,America,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,America,<=50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Private,Any,Never-married,Any,Own-child,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
Any,Any,Any,Never-married,Any,Any,Any,America,<=50K
Any,Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Not-in-family,Any,United-States,<=50K
Any,Any,Any,Partner-present,Any,Any,Any,United-States,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,In-family,Any,Any,<=50K
Any,Any,Any,Married,Any,Any,Any,North-America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,<=50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
Any,Private,Secondary,Any,Blue-collar,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Married,Any,Any,Any,North-America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Never-married,Any,Any,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Private,Any,Any,Any,Any,Male,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Private,Secondary,Any,Blue-collar,Any,Any,United-States,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,Any,<=50K
Any,Any,Any,Never-married,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,In-family,Any,Any,<=50K
Any,Any,Secondary,Any,Any,Any,Any,United-States,<=50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Not-in-family,Any,United-States,<=50K
Any,Any,Any,Partner-present,Any,Any,Any,United-States,>50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,Any,<=50K
Any,Private,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
"[0,50)",Private,Any,Never-married,Any,Own-child,Male,United-States,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Own-child,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,<=50K
Any,Any,Any,Never-married,Any,Any,Any,America,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,Any,<=50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
Any,Any,Any,Any,Any,Any,Female,United-States,<=50K
"[0,50)",Private,Post-secondary,Never-married,Any,Any,Male,America,<=50K
"[0,50)",Private,Any,Married-civ-spouse,Any,Husband,Male,America,>50K
Any,Any,Any,Any,Any,Not-in-family,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,>50K
Any,Any,Any,Any,Any,In-family,Male,United-States,>50K
Any,Any,Any,Any,Any,In-family,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,In-family,Any,Any,<=50K
Any,Any,Any,Any,Any,In-family,Any,Any,<=50K
Any,Private,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Married,Any,Any,Any,North-America,<=50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,America,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,Any,<=50K
Any,Any,Any,Never-married,Any,Any,Any,America,<=50K
Any,Private,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,Any,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Own-child,Male,United-States,<=50K
Any,Any,Any,Any,Any,Not-in-family,Any,United-States,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Married-civ-spouse,Any,Husband,Male,America,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Private,Any,Any,Any,Any,Male,America,<=50K
"[0,50)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,>50K
Any,Private,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,White-collar,Any,Female,America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Female,United-States,<=50K
Any,Private,Secondary,Any,Blue-collar,Any,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
Any,Any,Any,Married,Any,Any,Any,North-America,<=50K
Any,Any,Any,Any,White-collar,Any,Female,America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,In-family,Any,Any,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Post-secondary,Married-civ-spouse,Any,In-family,Any,America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Partner-present,Any,Any,Any,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,Any,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,America,>50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Any,Never-married,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Private,Any,Any,Any,Any,Male,America,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Married-civ-spouse,Any,Husband,Male,America,<=50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
"[0,50)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,America,>50K
Any,Any,Any,Married-civ-spouse,Any,In-family,Any,Any,>50K
Any,Any,Any,Any,Any,Any,Any,America,>50K
"[0,50)",Private,Any,Never-married,Any,Any,Any,America,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Private,Secondary,Any,Blue-collar,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,In-family,Male,United-States,<=50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[0,50)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Any,Any,In-family,Male,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Own-child,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,America,<=50K
Any,Any,Secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,>50K
Any,Private,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Married,Any,Any,Any,North-America,>50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Partner-present,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Any,Any,Partner-present,Any,Any,Any,United-States,<=50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Private,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Any,Married-civ-spouse,Any,Husband,Male,America,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,Any,<=50K
Any,Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,Not-in-family,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Never-married,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Private,Any,Any,Other-service,Any,Female,America,<=50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
Any,Private,Secondary,Any,Blue-collar,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,In-family,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
Any,Any,Any,Never-married,Any,Any,Any,America,<=50K
Any,Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,North-America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,In-family,Any,Any,<=50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Married-civ-spouse,Any,Husband,Male,America,>50K
"[0,50)",Private,HS-grad,Married-civ-spouse,White-collar,Husband,Male,America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,White-collar,Any,Female,America,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,Any,>50K
Any,Private,Any,Any,Other-service,Any,Female,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,North-America,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Post-secondary,Never-married,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,In-family,Any,Any,<=50K
Any,Any,Any,Never-married,Any,Any,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Never-married,Any,Any,Male,America,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,HS-grad,Married-civ-spouse,White-collar,Husband,Male,America,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,In-family,Male,United-States,>50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
Any,Any,Any,Any,White-collar,Any,Female,America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
Any,Any,Any,Any,Any,In-family,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,Any,<=50K
Any,Private,Any,Any,Other-service,Any,Female,America,<=50K
Any,Private,Any,Any,Any,Any,Male,America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Female,America,<=50K
Any,Any,Any,Partner-present,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,Any,<=50K
